主模块	子模块	信息/资料名称	填写/上传要求	必填类型	核心用途	第三方数据源校验	关联附件来源
客户基础信息	主体信息	公司中文全称	准确填写，需与工商注册信息一致	必填	投保主体合法性校验-进出口经营权的企业	企查查-进出口信用-海关资质	出口贸易投保单（中英文）、PICC短期出口信用保险投保单
		统一社会信用代码	准确填写，系统对接工商接口校验	必填	主体真实性校验	企查查	出口贸易投保单（中英文）、投保买方信息采集表、信用险带指引投保单
		注册地址	详细填写省/市/区/街道门牌号	必填	保费补贴属地政策判断、主体真实性校验		PICC短期出口信用保险投保单、信用险带指引投保单
		营业地址	详细填写实际经营地址，与注册地址不一致需注明	必填	业务真实性辅助校验		PICC短期出口信用保险投保单
		组织机构代码	准确填写	必填	主体合规性校验		PICC短期出口信用保险投保单
		成立年份	填写具体年份（YYYY）	必填	核保风险初判（经营年限关联）		信用险带指引投保单、PICC短期出口信用保险投保单
		法定代表人姓名	准确填写	必填	主体真实性校验		PICC短期出口信用保险投保单
		企业性质	下拉选择：国有企业/民营企业/外资企业/其他	必填	保费补贴判断、保险机构匹配（政策性/商业性）	/	PICC短期出口信用保险投保单、信用险带指引投保单
		经营性质	下拉选择：生产型企业/贸易公司/贸易代理	必填	保险机构风险偏好匹配	/	PICC短期出口信用保险投保单
	联系信息	联系人姓名	准确填写	必填	投保流程通知闭环		所有投保单
		联系人职务	填写具体职务	必填	业务对接有效性校验		信用险带指引投保单、PICC短期出口信用保险投保单
		联系电话	填写有效手机号，需短信验证	必填	投保流程通知、业务对接		所有投保单
		企业邮箱	填写有效企业邮箱，格式校验	必填	正式文件送达、投保通知		信用险带指引投保单、PICC短期出口信用保险投保单
	业务信息	出口业务经营历史	下拉选择：1年以内/1-3年/3年以上/即将从事出口业务	必填	核保风险初判、保险机构匹配		PICC短期出口信用保险投保单
投保核心需求	投保意向	投保类型	下拉选择：短期出口信用保险	必填	锁定保险机构承保范围		信用险带指引投保单、PICC短期出口信用保险投保单
		投保倾向机构类型	下拉选择：政策性保险机构/商业性保险机构/无偏好	必填	保险机构精准匹配		信用险带指引投保单
		投保业务范围	"下拉选择：全部适保业务/部分适保业务；
部分适保业务项下选择：全部信用证支付方式的出口/全部非信用证支付方式的出口/全部非信用证及信用证支付方式的出口"	必填	保险机构承保范围匹配		PICC短期出口信用保险投保单
		投保币种	下拉选择：USD/CNY/EUR	必填	保费核算、保额计量		出口贸易投保单（中英文）、信用险带指引投保单
		投保金额	填写具体金额（需与预计营业额匹配）	必填	保额设定、保险机构承接能力匹配		PICC短期出口信用保险投保单
		期望保险期间	填写起止日期（YYYY-MM-DD 至 YYYY-MM-DD），通常为1年	必填	保险合同期限约定		PICC短期出口信用保险投保单
		投保主要目的	按重要性填写1-4（1=最重要，4=最次要）：保障出口收汇安全/获取银行贸易融资/提升公司内部管理/取得海外买方信息	必填	保险机构服务匹配		PICC短期出口信用保险投保单
	业务信息	出口主要国别/地区	下拉多选（最多5个），关联国别风险评级库	必填	国别风险评级匹配、保险机构承接范围判断		所有投保单、国别风险评级库
		主营出口行业	下拉单选，关联行业风险评级库大类（金属/化工/建筑/能源/交通工具制造/IT服务/汽车制造/汽车零部件/食品/计算机及通讯/零售/家用电器/医疗/运输/纺织/造纸/电子/机械）	必填	行业风险评级匹配、保险机构风险偏好匹配		所有投保单、行业风险评级库
		预计未来12个月可保营业额	填写具体金额+投保币种，需扣除关联企业贸易、非赊销贸易营业额	必填	保额设定、保险机构承接能力匹配		出口贸易投保单（中英文）、信用险带指引投保单
		主要付款方式	下拉选择：信用证（LC）/放账（OA）/D/P（托收）/DA（承兑）/预付款/其他	必填	核保付款方式风险判断、保险机构偏好匹配		所有投保单
		最常用的付款期限	填写具体天数（如30/60/90）	必填	核保风险初判、保费核算		出口贸易投保单（中英文）
		最长付款期限	填写具体天数（如120/180）	必填	核保风险初判、保费核算		出口贸易投保单（中英文）
		是否为买家提供较长赊账期	下拉选择：是/否；选“是”需填写最长赊账期	必填	核保风险初判		信用险带指引投保单
贸易基础信息	核心信息	出口商品/服务品类	详细填写具体商品名称	必填	可保品类判断、行业风险细分匹配		所有投保单
		是否涉及管制商品	下拉选择：是/否；选“是”需注明商品名称	必填	判断是否需上传出口许可证	根据后台数据进行判断	信用险带指引投保单、PICC短期出口信用保险投保单
		贸易合同是否含物权保留条款	下拉选择：是/否	必填	核保风险缓释措施判断		出口贸易投保单（中英文）、信用险带指引投保单、PICC短期出口信用保险投保单
买方核心信息	基础信息	买方全称（中文/英文）	境内买方填中文，境外买方填英文全称	必填	买方主体识别		所有投保单、买方信息采集表
		买方注册地址	详细填写	必填	买方真实性校验、国别风险关联		买方信息采集表、信用险带指引投保单
		买方所在国别/地区	下拉选择，关联国别风险评级库	必填	国别风险评级匹配、保险机构承接判断		所有投保单、买方信息采集表、国别风险评级库
	业务信息	与该买方合作年限	下拉选择：1年以内/1-3年/3年以上	必填	交易稳定性判断、核保风险初判		买方信息采集表、信用险带指引投保单
		过去12个月出口交易额（万美元）	填写具体金额	必填	信用限额初判、保险机构承接能力匹配		PICC短期出口信用保险投保单、买方信息采集表
		过去12个月出口赊销交易额（万美元）	填写具体金额	必填	信用限额初判、保险机构承接能力匹配		PICC短期出口信用保险投保单
		预计未来12个月的赊销总额	填写具体金额+币种	必填	信用限额设定、保险机构承接能力匹配		买方信息采集表、信用险带指引投保单
		付款条件	填写“发送货物后XX天”或“开具发票后XX天”	必填	核保账期风险判断、保费核算		买方信息采集表、所有投保单
		拟申请信用限额（最大应收账款余额）	填写具体金额+币种	必填	保险机构信用限额审批		买方信息采集表、信用险带指引投保单、出口贸易投保单（中英文）
		若信用证结算请提供开证行名称、SWIFT CODE	仅信用证支付方式需填写	条件必填	信用证合规性校验、保险机构承保判断		买方信息采集表
补充资料上传	必传资料	近期贸易合同扫描件（样本）	格式：PDF/JPG/PNG；大小：单文件≤10MB，最多3份；内容：含买卖双方名称、商品名称、付款方式、账期条款	必传	贸易真实性校验、付款/账期合规性确认		所有投保单
		出口报关单扫描件（样本）	格式：PDF/JPG/PNG；大小：单文件≤10MB，最多2份；内容：含报关单号、出口国别、商品名称、金额	必传	出口业务真实性校验、国别/行业风险匹配		所有投保单
		出口许可证（如涉及管制商品）	格式：PDF/JPG/PNG；大小：单文件≤5MB，最多1份	条件必传	管制商品出口合法性校验		信用险带指引投保单、PICC短期出口信用保险投保单
投保声明	声明文件	投保人声明签署	投保人授权人签字并加盖公司公章，注明日期（YYYY-MM-DD）	必填	投保意愿确认、法律责任约定		所有投保单
