题号	问题内容	题型	选项/输入说明	跳转/显示逻辑	备注
Q1	您是否是长安银科跨境通平台的新客户？	单选	是，首次使用 / 否，已有贸易数据	"选“是”→进入手动填写；
选“否”→调取历史数据预填"	
Q2	今天想使用平台的哪项服务？	多选	买保险 / 管保单 / 办理赔 / 其他____	"多选时按优先级推荐；
选“买保险”展示 Q3-Q10"	
Q3	您主要出口什么类型的产品？	关键词/模糊搜索	下拉-关键词搜索/输入框（模糊输入/匹配）	用于行业风险评级调权	
Q4	您与买方的结算方式及账期占比？(总计100%)	多选	"系统预填常见方式，客户调整占比（总计100%）。选项内容：
结算方式+账期+占比"	用于计算信用风险系数	"结算方式：OA赊销 / DA承兑交单 / DP付款交单 / LC信用证 / TT预付 / 其他
账期选项：
LC / TT预付：即期（无需选择账期）
OA / DA / DP：
≤30天/31-60天/61-90天/91-120天/121-180天/>180天
占比选项：
10%及以下/11% - 30%/31% - 50%/51% - 70%/71% - 90%/91%及以上"
Q5	买方国家/地区分布及占比？(总计100%)	多选	国家(下拉搜索) / 占比%	用于计算加权国别风险分	"占比选项：
10%及以下/11% - 30%/31% - 50%/51% - 70%/71% - 90%/91%及以上"
Q6	上一年度海关出口总额？	单选	50万以下 / 50-200万 / 200-500万 / 500-1000万 / 1000-2000万 / 2000-5000万 / 5000万-1亿 / 1亿以上	对应规模维度分值	
Q7	最大几个买家合计占总出口额比例？	单选	≤30% / 31%-50% / 51%-70% / 71%-85% / 85%以上	对应集中度维度分值	
Q8	过去三年是否投保过出口信用保险？	单选+选填	未购买过 / 购买过且未赔付 / 购买过曾赔付（赔付金额____）	对应历史赔付维度分值	
Q9	对保险机构类型偏好？	单选	"政策性保险机构（如中信保）
国内大型保险公司（如人保）
国际信用险专业机构（如安联/科法斯）
无偏好"	用于推荐排序调优	
Q10	购买保险的主要目的？	单选	"融资（保单融资/退税融资）
风险保障
两者都有"	对应融资需求维度分值	
Q11	您对你所购买或你购买的保单有何需求？	文本框		AI识别客户需求词汇“保费”“额度”“服务”等，匹配保险机构	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
