保险模块整体建设梳理表									
功能模块	功能	事项	具体内容	数据来源/任务获取	应用文件（外部）	内置规则	平台规则	字段清单	备注
保险购买模块	投保信息管理	投保信息录入	客户基本信息	企业用户填报、系统导入	投保申请书	派单规则	/	/	/
			买方信息	客户填报/贸易资料解析	买方信息采集表	/	/	买方资料清单	/
			贸易信息	贸易资料解析	/	/	/	投保资料清单	/
			购买需求	客户填报/录入	/	/	/	投保需求清单	/
		投保信息数字化	投保资料整理（客户+贸易资料整理）	/	/	/	/	/	/
			保险购买需求整理	/	/	/	保险匹配规则	/	/
			投保申请资料整理	/	投保申请书、买方信息采集表	各保险公司投保资料要求	/	/	/
	投保流程管理	投保方案确认	投保方案推介	推荐方案（匹配结果）	/	各保险公司要求（国别、行业等）	保险匹配规则	/	根据各保险公司行业风险清单、国家（地区）分类表等设定匹配规则
		申请投保	/	平台提取	投保申请书、买方信息采集表	/	投保流程规则（常量管理）	/	/
		提交投保申请	/	流程校验和任务管理	/	/	/	/	/
		审核流转	/		/	/	/	/	/
		核保	/		/	/	/	/	/
		保单签发	保单获取		/	/	/	/	/
		支付管理	/	平台提取	保单明细表、费率表	/	/	/	/
	数据报表管理	保单数字化	信息字段整理	流程形成、平台提取	保单明细表、批单、保险条款	/	保单字段提取规则	保单字段清单	/
			流程整理			/		流程字段清单	/
保单管理模块	保单信息管理	保单数字化	信息字段整理	同上/客户录入	客户保单、批单信息	录入规则	保单字段提取规则	基本资料清单+保单上传要求	/
			流程整理			/		/	/
		管理需求整理	/	客户录入	/	/	/	/	/
	贸易信息管理	贸易数字化	/	客户录入	/	字段提取规则和数据要求	保单与贸易匹配规则	贸易字段清单	/
	信用限额管理	申请限额	申请资料整理	客户录入	信用限额审批表、买方信用限额申请表	各保险公司要求	限额审批规则（要求+流程）	限额申请字段清单	/
		限额数据整理	/	保单提取/跟单员跟进	/	/	字段提取规则	/	/
		限额调整	使用调整	状态更新	/	各保险公司信用限额规则（使用比例、剩余额度）	贸易数据关联规则	/	/
			被动调整	跟单员跟进	/	/	/	/	/
		关联提示	/	系统提示	/	/	信用限额变动提醒规则、超限额拦截	/	/
	出运申报管理	出运申报资料整理	/	贸易关联	/	各保险公司出运申报规则（申报时效、金额匹配要求）	贸易数据关联规则、保单、限额匹配规则	出运申报资料清单	/
		流程管理	出运录入	客户录入/流程形成/第三方数据（报关数据）	出运申报单	/	贸易数据关联规则	/	/
			申报提交	/	/	/	/	/	/
			申报审核	/	/	/	/	/	/
	流程管理	生效通知	/	状态更新	/	各保险公司保单期限规则	保单信息变更规则	/	/
		中止通知	/	/	申请文件	/		/	/
		退保管理	/	/	申请文件	/		/	/
		到期提醒	/	系统提醒	/	/		/	/
		续保通知	/	系统提醒	/	接保险购买模块		/	/
	保费补贴管理	补贴申请	/	系统提醒/跟单员跟进	/	各区域保费补贴申请规则	/	/	/
		资料整理	/	/	各区域政府部门要求	/	/	/	/
		流程跟进	/	状态更新	/	/	/	/	/
		补贴到账	/	系统提醒	/	/	/	/	/
	数据报表管理	保单履约情况	/	/	/	/	/	/	/
理赔管理模块	理赔信息管理	理赔信息录入	客户基本信息	企业用户填报、系统导入	理赔申请书	平台数据要求	/	/	/
			买方信息	客户填报/贸易资料解析	/		/	/	/
			贸易信息	贸易资料解析	/		/	/	/
			保单信息录入	保单信息上传解析/接上个节点	/		/	/	/
			保单履约信息录入	客户录入/接上个节点	/		/	履约信息收集模版	/
			理赔管理需求	客户填报/录入	/	/	/	/	/
		理赔信息数字化	理赔资料整理（客户+贸易资料整理）	/	/	各保险公司理赔所需资料清单	/	理赔申请资料清单和申请资料模版	/
			理赔申请资料整理	/	理赔申请书	/	/	/	/
			理赔结果初判	/	/	各保险公司拒赔案例、理赔审核标准	/	拒赔案例对应审核标准	/
	理赔流程管理	理赔报案	/	客户录入/关联贸易流程	可能损失通知书	各保险公司承保范围要求	派单规则	/	/
		理赔申请	/	风险提示	理赔资料清单	/	贸易数据关联规则	/	/
		资料移交	/	流程校验和任务管理	/	各保险公司理赔流程规则（期限、节点）	/	/	/
		审核调查	/		/		/	/	/
		核损与定损	/		/		/	/	/
		理赔决定	理赔决定		/		关联其他产品	/	/
		赔款支付	/	数据提取	理赔决定书	/	支付规则	费用通知单	/
		建议策略	/	/	/	/	关联其他产品	/	/
	数据报表管理	案件处理报告	/	/	/	/	/	分析报告模版	/
		追偿进度报表	/	/	/	/	/	统计报表模版	/
跟单员管理模块	信息管理	信息录入	基本信息、从业信息、账户信息	管理员录入、企业授权	/	信息必填校验、身份真实性要求	/	跟单员信息清单	跟单员基础信息维护
	权限管理	权限配置与变更	权限配置、权限变更、权限回收、权限查询	管理员分配、角色模板	/	/	/	/	/
	业务管理	任务分配与跟进	代办任务分配、进度跟踪、业绩统计	系统派单、自行抢单	/	各环节常量期限要求	派单规则	处理记录、统计报表	/
	考核管理	考核评级	服务评价、违规记录、考核评级	跟进情况反馈	/	评级周期、扣分规则	考核标准	评价记录、考核结果表	/
统计分析模块	业务数据统计	/	投保统计、限额统计、出运统计	系统业务数据	/	统计口径、周期规则	/	统计报表模版	/
	风险数据分析	/	赔付率、逾期率、买方风险分析	理赔 & 账款数据	/	分析维度、计算逻辑	/	风险分析报告	/
"注：
应用文件（外部），即服务商标准的文件资料或合同模版、合同条款、保单条款等
内置规则，即常量管理规则-服务商的流程和期限要求等
平台规则，即平台系统内部的匹配规则、流程管理规则、支付规则等
资料清单，即支撑各功能模块、功能、事项的字段清单、流程规则梳理等"									
