字段编号	字段名称	字段类型	值域/规则	适用性	特有公司	出运申报	限额申请审批	保单变更	续保	退保	保费管理	报损与索赔
1	保单号	文本	系统自动生成	通用	—	✔	✔	✔	✔	✔	✔	✔
2	被保险人名称	文本	自动关联	通用	—	✔	✔	✔	✔	✔	✔	✔
3	买方名称	文本	下拉选择	通用	—	✔	✔					✔
4	买方国别	下拉	国别风险评级库	通用	—	✔	✔					✔
5	买方注册地址	文本	手动输入	通用	—		✔					✔
6	买方联系方式	文本	手动输入	通用	—		✔					
7	买方注册号/税号	文本	手动输入	通用	—		✔					
8	买方所属行业	下拉	行业风险评级库	通用	—		✔					
9	买方全称（中文）	文本	手动输入	通用	—		✔					
10	买方全称（英文）	文本	手动输入	通用	—		✔					
11	申请信用限额金额	数值	手动输入	通用	—		✔					
12	申请限额币种	下拉	USD/CNY/EUR/其他	通用	—		✔					
13	付款条件（账期天数）	数值	手动输入	通用	—	✔	✔					
14	支付方式	下拉	OA/DA/DP/LC/预付款/其他	通用	—	✔	✔					
15	过去12个月赊销交易额	数值	手动输入	通用	—		✔					
16	预计未来12个月赊销销售总额	数值	手动输入	通用	—		✔					
17	是否有担保	下拉	是/否	通用	—		✔					
18	担保方公司全称	文本	条件显示	通用	—		✔					
19	与该买方合作年限	下拉	新买家/1年以内/1-3年/3年以上	通用	—		✔					
20	历史交易记录（附件）	附件	PDF/Excel	通用	—		✔					
21	买方资质证明（附件）	附件	PDF/JPG/PNG	通用	—		✔					
22	是否同意联系买方	下拉	是/否	通用	—		✔					
23	批复限额金额	数值	保险公司回填	通用	—		✔					
24	批复日期	日期	保险公司回填	通用	—		✔					
25	限额有效期起	日期	保险公司回填	通用	—		✔					
26	限额有效期止	日期	保险公司回填	通用	—		✔					
27	最后出运日期	日期	系统自动更新	通用	—		✔					
28	限额状态	下拉	待审批/已批复/已拒绝/已冻结/已撤销/已过期	通用	—	✔	✔					
29	限额使用率	百分比	系统自动计算	通用	—	✔	✔					
30	申报日期	日期	系统自动生成	通用	—	✔						
31	发票号	文本	手动输入	通用	—	✔						✔
32	发票金额	数值	手动输入	通用	—	✔						✔
33	发票日期	日期	手动输入	通用	—	✔						✔
34	出运日期	日期	手动输入	通用	—	✔						✔
35	应付款日	日期	系统自动计算	通用	—	✔						✔
36	货物描述	文本	手动输入	通用	—	✔						
37	运输方式	下拉	海运/空运/陆运/其他	通用	—	✔						
38	提单号/运单号	文本	手动输入	通用	—	✔						✔
39	已用限额余额	数值	系统自动计算	通用	—	✔	✔					
40	申报批次号	文本	系统自动生成	通用	—	✔						
41	商业发票（附件）	附件	PDF/JPG/PNG	通用	—	✔						✔
42	提单/运单（附件）	附件	PDF/JPG/PNG	通用	—	✔						✔
43	报关单（附件）	附件	PDF	通用	—							✔
44	买方收货凭证（附件）	附件	PDF	通用	—							✔
45	出险日期	日期	手动输入	通用	—							✔
46	报案日期	日期	系统自动生成	通用	—							✔
47	损失类型	下拉	破产/拖欠/拒收/政治风险/其他	通用	—							✔
48	损失金额	数值	手动输入	通用	—							✔
49	损失币种	下拉	USD/CNY/EUR/其他	通用	—							✔
50	索赔申请日期	日期	手动输入	通用	—							✔
51	索赔金额	数值	手动输入	通用	—							✔
52	逾期天数	数值	系统自动计算	通用	—							✔
53	理赔联系人	文本	手动输入	通用	—							✔
54	理赔联系电话	文本	手动输入	通用	—							✔
55	理赔联系邮箱	文本	手动输入	通用	—							✔
56	收款银行账户信息	文本	手动输入	通用	—							✔
57	出险通知书/报案表（附件）	附件	PDF	通用	—							✔
58	贸易合同（附件）	附件	PDF	通用	—							✔
59	买方破产证明（附件）	附件	PDF	通用	—							✔
60	买方拖欠催款记录（附件）	附件	PDF/邮件截图	通用	—							✔
61	买方拒收货物证明（附件）	附件	PDF	通用	—							✔
62	政治风险证明（附件）	附件	PDF/新闻/公告	通用	—							✔
63	追偿授权书（附件）	附件	PDF	通用	—							✔
64	案件状态	下拉	待报案/已报案/审核中/补充材料/已核定/已赔付/已拒赔/追偿中/已结案	通用	—							✔
65	保险公司核定结果	文本	保险公司回填	通用	—							✔
66	核定赔付金额	数值	保险公司回填	通用	—							✔
67	拒赔原因	文本	保险公司回填	通用	—							✔
68	赔款支付日期	日期	保险公司回填	通用	—							✔
69	变更申请日期	日期	系统自动生成	通用	—			✔				
70	变更类型	下拉	增加/减少买方/延期/变更限额/变更被保险人信息/变更联系人/变更地址/其他	通用	—			✔				
71	变更原因	文本	手动输入	通用	—			✔				
72	变更前内容	文本	手动输入/自动读取	通用	—			✔				
73	变更后内容	文本	手动输入	通用	—			✔				
74	变更生效日期	日期	保险公司回填	通用	—			✔				
75	批单/批注编号	文本	保险公司生成	通用	—			✔				
76	变更申请书（附件）	附件	PDF	通用	—			✔				
77	证明文件（附件）	附件	PDF/JPG/PNG	通用	—			✔				
78	续保申请日期	日期	系统自动生成	通用	—				✔			
79	原保单到期日	日期	自动读取	通用	—				✔			
80	续保后保险期间起	日期	手动输入/自动衔接	通用	—				✔			
81	续保后保险期间止	日期	手动输入/自动衔接	通用	—				✔			
82	续保后预计可保营业额	数值	手动输入	通用	—				✔			
83	续保后投保比例	数值	≤90%	通用	—				✔			
84	上年度实际申报总额	数值	系统自动汇总	通用	—				✔			
85	上年度赔付总额	数值	系统自动汇总	通用	—				✔			
86	赔付率	百分比	系统自动计算	通用	—				✔			
87	限额利用率	百分比	系统自动计算	通用	—				✔			
88	续保费率	数值	保险公司核定	通用	—				✔			
89	续保后买方清单	列表	手动更新	通用	—				✔			
90	续保状态	下拉	待提交/审核中/已批复/已拒绝	通用	—				✔			
91	空窗期天数	数值	系统自动计算	通用	—				✔			
92	续保申请书（附件）	附件	PDF	通用	—				✔			
93	上年度出运申报汇总（附件）	附件	Excel/PDF	通用	—				✔			
94	上年度收汇/逾期情况（附件）	附件	Excel/PDF	通用	—				✔			
95	退保申请日期	日期	系统自动生成	通用	—					✔		
96	退保原因	文本	手动输入	通用	—					✔		
97	退保生效日期	日期	保险公司核定	通用	—					✔		
98	已生效月数	数值	系统自动计算	通用	—					✔		
99	短期费率	百分比	保险公司核定	通用	—					✔		
100	应退保费金额	数值	保险公司核定	通用	—					✔		
101	退保申请书（附件）	附件	PDF	通用	—					✔		
102	预计可保营业额	数值	手动输入	通用	—						✔	
103	投保比例	数值	≤90%	通用	—						✔	
104	基础费率	数值	保险公司核定	通用	—						✔	
105	风险调整系数	数值	1.0基准浮动	通用	—						✔	
106	适用费率	数值	基础费率×风险调整系数	通用	—						✔	
107	预估保费	数值	系统自动计算	通用	—						✔	
108	缴纳方式	下拉	一次缴清/月缴/季缴/银行代扣/在线支付/银行转账/支票	通用	—						✔	
109	缴费到期日	日期	保险公司设定	通用	—						✔	
110	缴费状态	下拉	待缴费/已缴费/逾期未缴/部分缴纳	通用	—	✔					✔	
111	实际已缴保费	数值	系统自动汇总	通用	—						✔	
112	实际申报总额	数值	系统自动汇总	通用	—						✔	
113	差额保费	数值	系统自动计算	通用	—						✔	
114	保费缴款凭证（附件）	附件	PDF/JPG/PNG	通用	—						✔	
115	单一买方集中度比例	数值	≤20%	特有	CPIC		✔					
116	单一国家集中度比例	数值	≤30%	特有	CPIC		✔					
117	闲置撤销倒计时	数值	90天	特有	中国信保		✔					
118	闲置预警触发线	数值	60天	特有	中国信保		✔					
119	闲置限额自动撤销清单	列表	系统自动生成	特有	中国信保				✔			
120	保费缴纳期限-PICC	数值	10个工作日	特有	PICC						✔	
121	中小企业优惠费率	数值		特有	香港信保局						✔	
122	政策性费率下限	数值		特有	中国信保						✔	
123	国际公司费率上限	数值		特有	裕利安宜/安裕/科法斯						✔	
